signal,cost_bps,dimension,regime,days,annual_return,annual_vol,sharpe,max_drawdown,hit_rate,trades
h2_rv_gold_real10_single,2.0,usd,USD weakening,1316,-0.0005437089291640616,0.08146583849581358,-0.006674072705849607,-0.2605509327074845,0.49795918367346936,48
h2_rv_wti_usd_hedged,2.0,volatility,low VIX (<11.4),781,0.015899288388788586,0.05358967482724774,0.2966856664094661,-0.11648894288737781,0.515748031496063,20
h2_rv_wti_usd_hedged,2.0,volatility,mid VIX (11.4-18.2),769,-0.033237071684679265,0.08643429550988001,-0.38453569255828607,-0.2152472046634428,0.4624624624624625,36
h2_rv_wti_usd_hedged,2.0,volatility,high VIX (>18.2),836,-0.07176980163507221,0.09110472571195305,-0.7877725449938534,-0.47418003187778085,0.4591549295774648,29
h2_rv_wti_usd_hedged,2.0,curve,0-100bp,1850,-0.05802256178814078,0.08059358827851472,-0.7199401717618882,-0.5941717578099771,0.4718498659517426,59
h2_rv_wti_usd_hedged,2.0,curve,>100bp,178,0.11578031804515371,0.07487043905173861,1.5464089634247324,-0.04379213725089984,0.46296296296296297,10
h2_rv_wti_usd_hedged,2.0,curve,inverted,358,0.037964593953151576,0.07278398650593322,0.5216064106361743,-0.08608512000930668,0.5314685314685315,16
h2_rv_wti_usd_hedged,2.0,real_yield,middle 50% (-0.03-1.48%),1130,-0.06309245329551086,0.07868238469474358,-0.8018624948936733,-0.31500797356032817,0.46635730858468677,42
h2_rv_wti_usd_hedged,2.0,real_yield,bottom quartile (<-0.03%),628,-0.046136981094801355,0.08916961808087252,-0.5174069608883751,-0.33013027735162015,0.4689655172413793,28
h2_rv_wti_usd_hedged,2.0,real_yield,top quartile (>1.48%),628,0.04319582530361098,0.0683214453461813,0.6322440206693509,-0.10193930510544719,0.5113122171945701,15
h2_rv_wti_usd_hedged,2.0,usd,USD strengthening,1098,-0.0760146414381035,0.09455502955971473,-0.8039195989050764,-0.4616442524097373,0.453781512605042,42
h2_rv_wti_usd_hedged,2.0,usd,USD weakening,1288,0.008014408570064298,0.06292585769069832,0.12736272280082064,-0.19056449539737483,0.5021367521367521,43
h2_rv_wti_usd_single,2.0,volatility,low VIX (<11.4),837,0.019948027557653566,0.045831967197705714,0.43524266526905997,-0.08771016298287139,0.5078740157480315,20
h2_rv_wti_usd_single,2.0,volatility,mid VIX (11.4-18.2),837,-0.024407982047459094,0.07906010045625383,-0.3087269293436417,-0.1720687355681286,0.48348348348348347,36
h2_rv_wti_usd_single,2.0,volatility,high VIX (>18.2),837,-0.057103075723181365,0.09465693185997218,-0.6032635391949429,-0.501262459211496,0.4394366197183099,29
h2_rv_wti_usd_single,2.0,curve,0-100bp,1920,-0.05852135419375617,0.07871120452953774,-0.7434945830589471,-0.6327318826018992,0.4651474530831099,59
h2_rv_wti_usd_single,2.0,curve,>100bp,233,0.14669759889618011,0.05553977264346027,2.6413071554669667,-0.012876541629040353,0.6111111111111112,10
h2_rv_wti_usd_single,2.0,curve,inverted,358,0.07444749503053584,0.07154843380878885,1.040518863480571,-0.08348394265813086,0.5034965034965035,16
h2_rv_wti_usd_single,2.0,real_yield,middle 50% (-0.03-1.48%),1255,-0.04272532421920578,0.07047196506921316,-0.6062740577369119,-0.3072601427886225,0.4593967517401392,42
h2_rv_wti_usd_single,2.0,real_yield,bottom quartile (<-0.03%),628,-0.03381185144880434,0.09051534048175676,-0.37354829876178913,-0.35760532219015767,0.4896551724137931,28
h2_rv_wti_usd_single,2.0,real_yield,top quartile (>1.48%),628,0.03714310241509929,0.07038271060738505,0.5277304908345201,-0.12320967107699814,0.502262443438914,15
h2_rv_wti_usd_single,2.0,usd,USD strengthening,1133,-0.05729970766890962,0.0908392345476847,-0.6307814894546585,-0.4732272685527196,0.46218487394957986,42
h2_rv_wti_usd_single,2.0,usd,USD weakening,1316,0.010176529255778562,0.06245806210867184,0.1629337976908769,-0.18847467690477265,0.4893162393162393,43
h2_rv_breakeven_wti_hedged,2.0,volatility,low VIX (<11.4),781,-0.03215658874093058,0.05101480721704897,-0.6303383369482569,-0.16285211256275656,0.44598337950138506,29
h2_rv_breakeven_wti_hedged,2.0,volatility,mid VIX (11.4-18.2),769,0.06196945698230219,0.07575059759059802,0.8180721862713555,-0.14350835279943272,0.5267175572519084,27
h2_rv_breakeven_wti_hedged,2.0,volatility,high VIX (>18.2),836,-0.0017825694539930438,0.0909592386826313,-0.019597453538641216,-0.3037119687459562,0.4765625,37
h2_rv_breakeven_wti_hedged,2.0,curve,0-100bp,1850,0.02558855589040291,0.06964419916728783,0.3674183377274293,-0.27318691097867454,0.5006954102920723,72
h2_rv_breakeven_wti_hedged,2.0,curve,>100bp,178,-0.06493595601239811,0.06348558568897335,-1.0228456634318597,-0.07928909162546373,0.425531914893617,5
h2_rv_breakeven_wti_hedged,2.0,curve,inverted,358,-0.04114592088785783,0.10136919088127785,-0.4059016406281406,-0.16616037975592993,0.4846938775510204,16
h2_rv_breakeven_wti_hedged,2.0,real_yield,middle 50% (-0.03-1.48%),1130,-0.033457785930551494,0.07119211723433781,-0.4699647549520262,-0.2189423559515844,0.4658119658119658,42
h2_rv_breakeven_wti_hedged,2.0,real_yield,bottom quartile (<-0.03%),628,0.029542441377798125,0.07379400875522771,0.40033658390601096,-0.1340369780856447,0.49829351535836175,29
h2_rv_breakeven_wti_hedged,2.0,real_yield,top quartile (>1.48%),628,0.06417935265199264,0.08190594753958912,0.783573776751336,-0.08427663537337718,0.5182186234817814,22
h2_rv_breakeven_wti_hedged,2.0,usd,USD strengthening,1098,-0.0026179255608898312,0.08563659312886093,-0.03057017409544224,-0.30225534597442905,0.4774590163934426,44
h2_rv_breakeven_wti_hedged,2.0,usd,USD weakening,1288,0.01857489970111992,0.06425385817617135,0.28908613783457526,-0.141581782313322,0.49615384615384617,49
h2_rv_spx_vix_hedged,2.0,volatility,low VIX (<11.4),781,-0.08187128508227452,0.06721863729314162,-1.2179848979269314,-0.26056970257962203,0.45864661654135336,20
h2_rv_spx_vix_hedged,2.0,volatility,mid VIX (11.4-18.2),769,0.009659863764303224,0.14830898162705544,0.06513336993031454,-0.3217507157127704,0.47244094488188976,35
h2_rv_spx_vix_hedged,2.0,volatility,high VIX (>18.2),836,-0.019236486616096293,0.07927195403269104,-0.24266446880019307,-0.32371466510030583,0.49078341013824883,35
h2_rv_spx_vix_hedged,2.0,curve,0-100bp,1850,-0.03512115452675877,0.10549162046044024,-0.3329283821166567,-0.628398091122713,0.4781725888324873,67
h2_rv_spx_vix_hedged,2.0,curve,>100bp,178,-0.1829358123647086,0.12347304438415399,-1.481585015394549,-0.1403417178482935,0.41379310344827586,3
h2_rv_spx_vix_hedged,2.0,curve,inverted,358,0.06967030516720152,0.08150774387548913,0.8547691526541278,-0.06981852553232631,0.5352941176470588,20
h2_rv_spx_vix_hedged,2.0,real_yield,middle 50% (-0.03-1.48%),1130,0.040640174476838827,0.06711276654652294,0.6055505765608222,-0.1671576021173513,0.545054945054945,45
h2_rv_spx_vix_hedged,2.0,real_yield,bottom quartile (<-0.03%),628,-0.21304380391322675,0.09722189111878186,-2.1913151602136423,-0.6050507788389043,0.4213197969543147,14
h2_rv_spx_vix_hedged,2.0,real_yield,top quartile (>1.48%),628,0.024320653619609545,0.15234869222483102,0.15963808592277215,-0.22493284550842524,0.46153846153846156,31
h2_rv_spx_vix_hedged,2.0,usd,USD strengthening,1098,-0.06840676774835629,0.08742775870925762,-0.7824376234537141,-0.4864785707510992,0.48253275109170307,41
h2_rv_spx_vix_hedged,2.0,usd,USD weakening,1288,0.0019533305606611,0.11587612382790977,0.016857058176730482,-0.2774181129857026,0.47619047619047616,49
h2_rv_spx_vix_single,2.0,volatility,low VIX (<11.4),837,-0.08627907955359568,0.06024491416631579,-1.4321388078570148,-0.31649159982292124,0.4225,20
h2_rv_spx_vix_single,2.0,volatility,mid VIX (11.4-18.2),837,0.056293971663593616,0.08802130089997116,0.6395494168799777,-0.15365776985676288,0.5111111111111111,37
h2_rv_spx_vix_single,2.0,volatility,high VIX (>18.2),837,0.012514627164226827,0.0892779021241497,0.1401760891158039,-0.31552052575080997,0.5080459770114942,35
h2_rv_spx_vix_single,2.0,curve,0-100bp,1920,-0.03534942866795007,0.07802352269218103,-0.4530611724288699,-0.5576595089143663,0.49258160237388726,69
h2_rv_spx_vix_single,2.0,curve,>100bp,233,0.05361238908744201,0.0707603273960041,0.7576616878467064,-0.04351254244943602,0.41379310344827586,3
h2_rv_spx_vix_single,2.0,curve,inverted,358,0.11384475982574374,0.0966675102701676,1.1776941343329206,-0.03810436551371442,0.5529411764705883,20
h2_rv_spx_vix_single,2.0,real_yield,middle 50% (-0.03-1.48%),1255,0.04217293920010269,0.06991183901553728,0.6032302939525039,-0.18259878266825796,0.5322245322245323,47
h2_rv_spx_vix_single,2.0,real_yield,bottom quartile (<-0.03%),628,-0.11406960779094576,0.0871035336737841,-1.3095864539566637,-0.3782716974599639,0.4543147208121827,14
h2_rv_spx_vix_single,2.0,real_yield,top quartile (>1.48%),628,0.006506182530431804,0.09179146700780833,0.0708800364839833,-0.1481269238504585,0.4835164835164835,31
h2_rv_spx_vix_single,2.0,usd,USD strengthening,1133,-0.016896622544877612,0.08421316202450198,-0.20064111284601222,-0.3401457783433969,0.47558386411889597,43
h2_rv_spx_vix_single,2.0,usd,USD weakening,1316,0.003435471866164461,0.07887592850221438,0.04355539048986299,-0.20532990070307477,0.505851755526658,49
h3_positioning_es,2.0,volatility,low VIX (<11.4),837,-0.0002317757011571751,0.03480238479210466,-0.006659764913861771,-0.06288668167276021,0.4866666666666667,12
h3_positioning_es,2.0,volatility,mid VIX (11.4-18.2),837,-0.020757838431246074,0.050789763632158695,-0.4087012214032588,-0.13069945033248112,0.48366013071895425,12
h3_positioning_es,2.0,volatility,high VIX (>18.2),837,-0.027060412931835462,0.058440985852308766,-0.4630382690706511,-0.21923683250968115,0.4666666666666667,22
h3_positioning_es,2.0,curve,0-100bp,1920,-0.016126798066988877,0.04823599414741695,-0.3343312054003239,-0.21576936505013827,0.5059101654846335,31
h3_positioning_es,2.0,curve,>100bp,233,0.0032602556633360897,0.056629572275058264,0.0575716102445652,-0.06980883761614426,0.4878048780487805,2
h3_positioning_es,2.0,curve,inverted,358,-0.027972234451694,0.04781338246530982,-0.5850293999172465,-0.0674558885198993,0.43617021276595747,13
h3_positioning_es,2.0,real_yield,middle 50% (-0.03-1.48%),1255,-0.01892795476583186,0.046478640066979236,-0.4072398576755956,-0.1884161703398267,0.48412698412698413,25
h3_positioning_es,2.0,real_yield,bottom quartile (<-0.03%),628,0.02913450321157287,0.05555129990293611,0.5244612324550302,-0.0777249434822711,0.5497076023391813,12
h3_positioning_es,2.0,real_yield,top quartile (>1.48%),628,-0.05534993222693722,0.046792067681140956,-1.182891352528228,-0.1645969004494774,0.42962962962962964,9
h3_positioning_es,2.0,usd,USD strengthening,1133,-0.034915336786180015,0.05589119825468483,-0.6247018828810562,-0.21723076565322524,0.45185185185185184,22
h3_positioning_es,2.0,usd,USD weakening,1316,-0.0005006049194725175,0.0434846732006487,-0.01151221528474197,-0.11824511508243449,0.5208333333333334,24
h3_positioning_zn,2.0,volatility,low VIX (<11.4),837,-0.05206704537142114,0.04701897852138447,-1.1073623249331286,-0.19238500608977444,0.4355400696864111,13
h3_positioning_zn,2.0,volatility,mid VIX (11.4-18.2),837,0.011706825433731447,0.06278938003896734,0.18644594717237445,-0.15219986285796763,0.47265625,17
h3_positioning_zn,2.0,volatility,high VIX (>18.2),837,-0.00012171581615240088,0.07598451975135077,-0.001601850173570876,-0.2471508703044194,0.5015105740181269,18
h3_positioning_zn,2.0,curve,0-100bp,1920,0.006290207683911613,0.06087860474268714,0.10332378198380451,-0.28236606528405794,0.5016025641025641,39
h3_positioning_zn,2.0,curve,>100bp,233,-0.24645322176929105,0.07642996379707766,-3.224562848461199,-0.23309673607155432,0.3835616438356164,2
h3_positioning_zn,2.0,curve,inverted,358,0.032019613668068984,0.06384106603025648,0.5015519893244543,-0.10430419298154514,0.47115384615384615,7
h3_positioning_zn,2.0,real_yield,middle 50% (-0.03-1.48%),1255,-0.01758211996928981,0.05643543551562809,-0.31154397602586004,-0.2979061526588752,0.47453703703703703,20
h3_positioning_zn,2.0,real_yield,bottom quartile (<-0.03%),628,-0.0802601268506465,0.06444228934923024,-1.24545741098202,-0.2446403983560272,0.4426229508196721,11
h3_positioning_zn,2.0,real_yield,top quartile (>1.48%),628,0.061441942671495046,0.07315656145629876,0.8398691989945205,-0.05850821174404103,0.5228426395939086,17
h3_positioning_zn,2.0,usd,USD strengthening,1133,-0.06405060271766243,0.07198609095481609,-0.8897635899949815,-0.460644209899026,0.45081967213114754,17
h3_positioning_zn,2.0,usd,USD weakening,1316,0.02939662055710159,0.05577931078260244,0.5270165612421011,-0.10368975848399611,0.5025906735751295,31
h3_positioning_6e,2.0,volatility,low VIX (<11.4),837,0.0051009851411459965,0.030041354956860535,0.16979877067698926,-0.052869159209834114,0.5217391304347826,15
h3_positioning_6e,2.0,volatility,mid VIX (11.4-18.2),837,-0.006653338578893432,0.04578844532332206,-0.14530605990032588,-0.09826992125439532,0.43243243243243246,17
h3_positioning_6e,2.0,volatility,high VIX (>18.2),837,-0.04343505911599926,0.06840997339066524,-0.6349229061668676,-0.2140463246620656,0.4942528735632184,21
h3_positioning_6e,2.0,curve,0-100bp,1920,-0.015225508258204224,0.04574789181736045,-0.332813330917829,-0.21210821473685276,0.48985507246376814,39
h3_positioning_6e,2.0,curve,>100bp,233,0.0,0.0,,0.0,,0
h3_positioning_6e,2.0,curve,inverted,358,-0.02352371075903319,0.08211772512610205,-0.2864632541014694,-0.12852817405771538,0.4887640449438202,14
h3_positioning_6e,2.0,real_yield,middle 50% (-0.03-1.48%),1255,-0.03869792134218185,0.05724320810480385,-0.6760264252019502,-0.2757632562164587,0.4797297297297297,26
h3_positioning_6e,2.0,real_yield,bottom quartile (<-0.03%),628,0.007126120754994396,0.03395377132922444,0.20987714990177994,-0.05114368610548588,0.5064935064935064,10
h3_positioning_6e,2.0,real_yield,top quartile (>1.48%),628,0.010248762966267129,0.05029986365576311,0.20375329516609686,-0.06520457205710016,0.4900662251655629,17
h3_positioning_6e,2.0,usd,USD strengthening,1133,-0.018278275492766314,0.03321488765876484,-0.5503036975632519,-0.09498618918557533,0.4367816091954023,18
h3_positioning_6e,2.0,usd,USD weakening,1316,-0.012876275208344798,0.06273192249141613,-0.20525873744913067,-0.22377658978770937,0.4988558352402746,35
h3_positioning_cl,2.0,volatility,low VIX (<11.4),837,-0.025898120916560755,0.03164783608262825,-0.8183220125680707,-0.09634530590254377,0.39285714285714285,3
h3_positioning_cl,2.0,volatility,mid VIX (11.4-18.2),837,-0.005197534671192061,0.04995835479022563,-0.10403734656628366,-0.1358285540748267,0.48756218905472637,11
h3_positioning_cl,2.0,volatility,high VIX (>18.2),837,-0.05084121485162056,0.0704289936716536,-0.7218790472663424,-0.41140429264588796,0.45934959349593496,18
h3_positioning_cl,2.0,curve,0-100bp,1920,-0.030281794589091228,0.05026887317580397,-0.6023965264386876,-0.41377322433498925,0.4725274725274725,23
h3_positioning_cl,2.0,curve,>100bp,233,0.0,0.0,,0.0,,0
h3_positioning_cl,2.0,curve,inverted,358,-0.029162332253352904,0.07892983860335677,-0.3694715809556042,-0.18709112808179706,0.441025641025641,9
h3_positioning_cl,2.0,real_yield,middle 50% (-0.03-1.48%),1255,-0.021642462584558014,0.05070366045514882,-0.4268422119878779,-0.28390611930985654,0.45714285714285713,19
h3_positioning_cl,2.0,real_yield,bottom quartile (<-0.03%),628,-0.09040134366840054,0.050513559340047365,-1.7896450942970865,-0.293350792626915,0.2962962962962963,2
h3_positioning_cl,2.0,real_yield,top quartile (>1.48%),628,0.02444613663952282,0.059685484466135884,0.4095826122244676,-0.11787230936421898,0.5052631578947369,11
h3_positioning_cl,2.0,usd,USD strengthening,1133,-0.05581196246667848,0.05589312096211198,-0.9985479698747094,-0.43142245120856,0.4444444444444444,12
h3_positioning_cl,2.0,usd,USD weakening,1316,-0.004062467388304555,0.05181867970182586,-0.0783977401910032,-0.1650127442448866,0.48091603053435117,20
h3_positioning_gc,2.0,volatility,low VIX (<11.4),837,0.03635403985151916,0.0455666408086191,0.7978213712133605,-0.04759069988200695,0.5,19
h3_positioning_gc,2.0,volatility,mid VIX (11.4-18.2),837,-0.06039100076044702,0.07191033008488677,-0.8398098115967243,-0.2757314675149922,0.44525547445255476,14
h3_positioning_gc,2.0,volatility,high VIX (>18.2),837,-0.06884363183331012,0.06614963764429169,-1.0407257588243328,-0.28096394745462505,0.45132743362831856,11
h3_positioning_gc,2.0,curve,0-100bp,1920,-0.02888860071852063,0.059139703097698476,-0.48848065183548206,-0.3059352348364761,0.4734848484848485,36
h3_positioning_gc,2.0,curve,>100bp,233,0.00046801790936568365,0.026207425486369604,0.01785821768754425,-0.015351797346201968,0.4666666666666667,2
h3_positioning_gc,2.0,curve,inverted,358,-0.06252511429769766,0.08960327777970506,-0.6977994092070978,-0.1929271913400112,0.46113989637305697,6
h3_positioning_gc,2.0,real_yield,middle 50% (-0.03-1.48%),1255,-0.04477439635885473,0.05689455213809604,-0.7869715935222948,-0.30268135958336173,0.48036253776435045,22
h3_positioning_gc,2.0,real_yield,bottom quartile (<-0.03%),628,-0.021528675722170036,0.06239721609911526,-0.34502622181048387,-0.0932612232785738,0.4594594594594595,11
h3_positioning_gc,2.0,real_yield,top quartile (>1.48%),628,-0.012785319014916714,0.07185544157045236,-0.17793111746980286,-0.08374358769974248,0.45662100456621,11
h3_positioning_gc,2.0,usd,USD strengthening,1133,-0.05522083533937779,0.06211194826190139,-0.8890533445599466,-0.2529713452332262,0.4185022026431718,13
h3_positioning_gc,2.0,usd,USD weakening,1316,-0.0115318006730533,0.06388969968958486,-0.18049545903458342,-0.2478765845040457,0.49015748031496065,31
