market,report,contract_name,report_date,category,long,short,open_interest
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-13,asset_manager,155917,166078,699988
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-13,dealer,173730,190264,699988
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-13,leveraged_funds,163491,130504,699988
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-13,nonreportable,82791,85205,699988
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-13,other_rept,124059,127937,699988
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-20,asset_manager,152345,164185,688108
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-20,dealer,165125,192692,688108
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-20,leveraged_funds,165372,123633,688108
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-20,nonreportable,83353,81792,688108
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-20,other_rept,121913,125806,688108
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-27,asset_manager,156758,156260,680473
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-27,dealer,170719,183127,680473
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-27,leveraged_funds,154549,131250,680473
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-27,nonreportable,77042,86271,680473
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-27,other_rept,121405,123565,680473
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-04,asset_manager,154105,158973,680603
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-04,dealer,167787,186127,680603
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-04,leveraged_funds,155173,130680,680603
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-04,nonreportable,80906,82438,680603
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-04,other_rept,122632,122385,680603
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-11,asset_manager,152499,160059,679473
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-11,dealer,170124,183202,679473
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-11,leveraged_funds,149897,135482,679473
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-11,nonreportable,86169,76904,679473
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-11,other_rept,120784,123826,679473
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-18,asset_manager,155140,159564,684139
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-18,dealer,175398,180355,684139
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-18,leveraged_funds,146631,140707,684139
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-18,nonreportable,85868,78325,684139
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-18,other_rept,121102,125188,684139
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-25,asset_manager,154146,161366,685894
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-25,dealer,173813,182852,685894
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-25,leveraged_funds,151477,136598,685894
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-25,nonreportable,84837,79777,685894
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-10-25,other_rept,121621,125301,685894
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-01,asset_manager,155489,163747,693991
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-01,dealer,180343,180533,693991
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-01,leveraged_funds,149651,141825,693991
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-01,nonreportable,85339,81219,693991
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-01,other_rept,123169,126667,693991
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-08,asset_manager,155492,152723,670033
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-08,dealer,174521,173896,670033
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-08,leveraged_funds,138427,142987,670033
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-08,nonreportable,81180,79629,670033
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-08,other_rept,120413,120798,670033
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-15,asset_manager,154767,155193,673826
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-15,dealer,175933,174456,673826
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-15,leveraged_funds,140717,142289,673826
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-15,nonreportable,79183,82537,673826
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-15,other_rept,123226,119351,673826
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-22,asset_manager,155452,153889,672482
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-22,dealer,175768,173923,672482
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-22,leveraged_funds,140614,141828,672482
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-22,nonreportable,78456,82941,672482
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-22,other_rept,122192,119901,672482
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-29,asset_manager,148502,152837,655084
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-29,dealer,165633,175011,655084
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-29,leveraged_funds,144107,131029,655084
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-29,nonreportable,81816,75403,655084
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-11-29,other_rept,115026,120804,655084
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-06,asset_manager,149644,157067,666763
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-06,dealer,166960,179757,666763
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-06,leveraged_funds,147796,132245,666763
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-06,nonreportable,83360,76662,666763
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-06,other_rept,119003,121032,666763
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-13,asset_manager,151367,165740,689364
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-13,dealer,172013,186456,689364
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-13,leveraged_funds,162629,126903,689364
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-13,nonreportable,80283,85166,689364
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-13,other_rept,123072,125099,689364
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-20,asset_manager,152670,161065,682032
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-20,dealer,171238,183419,682032
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-20,leveraged_funds,152150,134304,682032
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-20,nonreportable,82429,81257,682032
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-20,other_rept,123545,121987,682032
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-27,asset_manager,159732,151452,676487
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-27,dealer,182877,168896,676487
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-27,leveraged_funds,129459,154666,676487
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-27,nonreportable,79567,82790,676487
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-12-27,other_rept,124852,118683,676487
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-03,asset_manager,164779,150007,684318
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-03,dealer,189820,166025,684318
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-03,leveraged_funds,118048,169366,684318
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-03,nonreportable,85886,78351,684318
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-03,other_rept,125785,120569,684318
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-10,asset_manager,169234,143455,679759
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-10,dealer,196711,156764,679759
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-10,leveraged_funds,103683,181816,679759
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-10,nonreportable,78784,84357,679759
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-10,other_rept,131347,113367,679759
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-17,asset_manager,171376,141406,679962
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-17,dealer,201712,151868,679962
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-17,leveraged_funds,96360,189224,679962
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-17,nonreportable,80975,82217,679962
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-17,other_rept,129539,115247,679962
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-24,asset_manager,167888,148607,688033
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-24,dealer,200748,157029,688033
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-24,leveraged_funds,111285,177689,688033
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-24,nonreportable,80595,84533,688033
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-24,other_rept,127517,120175,688033
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-31,asset_manager,164944,156080,697878
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-31,dealer,189784,173113,697878
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-31,leveraged_funds,134845,158264,697878
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-31,nonreportable,78510,88980,697878
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-01-31,other_rept,129795,121441,697878
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-07,asset_manager,156513,155626,678562
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-07,dealer,178507,174346,678562
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-07,leveraged_funds,138274,146722,678562
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-07,nonreportable,82999,79854,678562
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-07,other_rept,122269,122014,678562
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-14,asset_manager,157138,152300,672691
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-14,dealer,175650,174149,672691
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-14,leveraged_funds,136274,146256,672691
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-14,nonreportable,85070,76376,672691
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-14,other_rept,118559,123610,672691
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-21,asset_manager,166582,152179,692960
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-21,dealer,193417,166922,692960
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-21,leveraged_funds,123037,168006,692960
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-21,nonreportable,84393,81919,692960
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-21,other_rept,125531,123934,692960
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-28,asset_manager,165120,151871,689111
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-28,dealer,187605,170733,689111
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-28,leveraged_funds,126769,162658,689111
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-28,nonreportable,84886,80500,689111
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-02-28,other_rept,124731,123349,689111
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-07,asset_manager,153619,163523,689438
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-07,dealer,173549,184958,689438
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-07,leveraged_funds,154403,135161,689438
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-07,nonreportable,82909,82556,689438
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-07,other_rept,124958,123240,689438
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-14,asset_manager,159674,157160,688770
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-14,dealer,181399,176762,688770
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-14,leveraged_funds,143828,145455,688770
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-14,nonreportable,77182,88123,688770
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-14,other_rept,126687,121270,688770
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-21,asset_manager,155381,156877,678822
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-21,dealer,176865,176123,678822
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-21,leveraged_funds,146532,138574,678822
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-21,nonreportable,77435,85481,678822
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-21,other_rept,122609,121767,678822
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-28,asset_manager,153593,159087,679740
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-28,dealer,173519,179946,679740
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-28,leveraged_funds,149691,135800,679740
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-28,nonreportable,82569,80568,679740
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-03-28,other_rept,120368,124339,679740
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-04,asset_manager,160755,156062,688734
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-04,dealer,185129,173013,688734
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-04,leveraged_funds,134465,154803,688734
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-04,nonreportable,81912,83384,688734
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-04,other_rept,126473,121472,688734
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-11,asset_manager,160209,160334,696832
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-11,dealer,175488,186864,696832
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-11,leveraged_funds,155114,137556,696832
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-11,nonreportable,85029,82210,696832
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-11,other_rept,120992,129868,696832
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-18,asset_manager,162550,166890,716172
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-18,dealer,179910,192500,716172
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-18,leveraged_funds,163307,137485,716172
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-18,nonreportable,82139,89741,716172
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-18,other_rept,128266,129556,716172
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-25,asset_manager,157856,163814,699283
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-25,dealer,177075,186552,699283
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-25,leveraged_funds,153916,139783,699283
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-25,nonreportable,86390,81438,699283
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-04-25,other_rept,124046,127696,699283
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-02,asset_manager,157917,160948,693183
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-02,dealer,179070,181385,693183
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-02,leveraged_funds,150178,140959,693183
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-02,nonreportable,84087,82276,693183
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-02,other_rept,121931,127615,693183
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-09,asset_manager,158358,154937,681076
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-09,dealer,180545,173615,681076
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-09,leveraged_funds,135908,150144,681076
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-09,nonreportable,81956,81501,681076
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-09,other_rept,124309,120879,681076
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-16,asset_manager,160898,151791,679758
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-16,dealer,189214,164260,679758
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-16,leveraged_funds,118735,166764,679758
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-16,nonreportable,87130,76011,679758
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-16,other_rept,123781,120932,679758
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-23,asset_manager,163721,146526,674451
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-23,dealer,195994,154720,674451
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-23,leveraged_funds,102060,181210,674451
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-23,nonreportable,85714,76154,674451
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-23,other_rept,126962,115841,674451
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-30,asset_manager,166579,140349,667234
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-30,dealer,195791,151171,667234
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-30,leveraged_funds,98875,181364,667234
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-30,nonreportable,80468,79666,667234
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-05-30,other_rept,125521,114684,667234
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-06,asset_manager,164204,147031,676598
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-06,dealer,188700,163131,676598
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-06,leveraged_funds,118370,165802,676598
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-06,nonreportable,79266,83117,676598
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-06,other_rept,126058,117517,676598
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-13,asset_manager,161307,158006,694159
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-13,dealer,185261,175702,694159
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-13,leveraged_funds,137326,154221,694159
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-13,nonreportable,85450,81148,694159
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-13,other_rept,124815,125082,694159
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-20,asset_manager,163227,154466,690637
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-20,dealer,187611,171520,690637
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-20,leveraged_funds,131669,158398,690637
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-20,nonreportable,81563,84191,690637
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-20,other_rept,126567,122062,690637
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-27,asset_manager,163371,152223,686072
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-27,dealer,186869,169888,686072
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-27,leveraged_funds,128715,159435,686072
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-27,nonreportable,80956,83701,686072
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-06-27,other_rept,126161,120825,686072
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-04,asset_manager,169574,151057,697024
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-04,dealer,190000,172452,697024
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-04,leveraged_funds,129503,163247,697024
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-04,nonreportable,80264,87022,697024
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-04,other_rept,127683,123246,697024
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-11,asset_manager,168118,166725,727920
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-11,dealer,185270,193248,727920
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-11,leveraged_funds,155785,149941,727920
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-11,nonreportable,89249,85453,727920
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-11,other_rept,129498,132553,727920
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-18,asset_manager,162757,174322,732780
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-18,dealer,186458,194588,732780
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-18,leveraged_funds,160790,146978,732780
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-18,nonreportable,88824,87043,732780
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-18,other_rept,133951,129849,732780
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-25,asset_manager,150662,179957,718738
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-25,dealer,158009,215735,718738
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-25,leveraged_funds,205298,96572,718738
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-25,nonreportable,85265,87233,718738
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-07-25,other_rept,119504,139241,718738
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-08-01,asset_manager,153494,177710,720008
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-08-01,dealer,161088,213316,720008
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-08-01,leveraged_funds,197702,104701,720008
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2017-08-01,nonreportable,85333,87469,720008
